Education_Sector,Entity_Type,School_Number,School_Name,School_Type,School_Status,Address,Address_Town,Address_State,Address_Postcode,Postal Address,Postal_Town,State Code,Postal_Postcode,Phone Number,LGA_ID,LGA_Name,Latitude,Longitude
Government,1,123,California Gully Primary School,Primary,O,4-14 Staley Street ,California Gully,VIC,3556,P O Box 88,California Gully,VIC,3556,(035) 446-8393,262,Greater Bendigo (C),144.249857,-36.733207
Government,1,128,St Andrews Primary School,Primary,O,Caledonia Street ,St Andrews,VIC,3761,Caledonia Street,St Andrews,VIC,3761,(039) 710-1255,571,Nillumbik (S),145.269827,-37.602316
Government,1,182,Warrnambool West Primary School,Primary,O,35 Hoddle Street ,Warrnambool,VIC,3280,35 Hoddle Street,Warrnambool,VIC,3280,(035) 561-3161,673,Warrnambool (C),142.466796,-38.366338
Government,1,184,Dromana Primary School,Primary,O,Mcculloch Street ,Dromana,VIC,3936,P O Box 166,Dromana,VIC,3936,(035) 987-2367,534,Mornington Peninsula (S),144.959653,-38.339644
Government,1,197,Doncaster Primary School,Primary,O,2 - 12 Council Street ,Doncaster,VIC,3108,2 - 12 Council Street,Doncaster,VIC,3108,(039) 848-1122,421,Manningham (C),145.129673,-37.786804
Government,1,208,Echuca Primary School,Primary,O,413-431 High Street ,Echuca,VIC,3564,413-431 High Street,Echuca,VIC,3564,(035) 483-0700,137,Campaspe (S),144.747463,-36.128198
Government,1,209,Eltham Primary School,Primary,O,Dalton Street ,Eltham,VIC,3095,DALTON STREET,Eltham,VIC,3095,(039) 439-9374,571,Nillumbik (S),145.1478042,-37.72498353
Government,1,210,Eaglehawk Primary School,Primary,O,Church St ,Eaglehawk,VIC,3556,P O Box 77,Eaglehawk,VIC,3556,(035) 446-3722,262,Greater Bendigo (C),144.254602,-36.720628
Government,1,220,Elphinstone Primary School,Primary,O,26 Wright Street ,Elphinstone,VIC,3448,26 Wright Street,Elphinstone,VIC,3448,(035) 473-3285,543,Mount Alexander (S),144.3329025,-37.10500363
Government,1,244,Hallam Primary School,Primary,O,24 Harmer Road ,Hallam,VIC,3803,24 Harmer Road,Hallam,VIC,3803,(039) 703-1536,161,Casey (C),145.258493,-38.001575
Government,1,250,Flemington Primary School,Primary,O,Mt Alexander Road ,Flemington,VIC,3031,P O Box 7,Flemington,VIC,3031,(039) 376-7137,506,Moonee Valley (C),144.933597,-37.781393
Government,1,253,Footscray Primary School,Primary,O,Cnr Geelong Road & Barkly St ,Footscray,VIC,3011,P O Box 6019,West Footscray,VIC,3012,(039) 687-1910,433,Maribyrnong (C),144.892669,-37.798383
Government,1,262,Gisborne Primary School,Primary,O,35 Fisher Street ,Gisborne,VIC,3437,35 FISHER STREET,Gisborne,VIC,3437,(035) 428-2022,413,Macedon Ranges (S),144.5884416,-37.4908591
Government,1,264,Guildford Primary School,Primary,O,6 Franklin Street ,Guildford,VIC,3451,6 Franklin Street,Guildford,VIC,3451,(035) 473-4241,543,Mount Alexander (S),144.164884,-37.152008
Government,1,267,Sandringham Primary School,Primary,O,31 Bamfield Street ,Sandringham,VIC,3191,31 Bamfield Street,Sandringham,VIC,3191,(039) 598-1488,91,Bayside (C),145.009306,-37.947631
Government,1,275,Wandiligong Primary School,Primary,O,119 School Road ,Wandiligong,VIC,3744,"P O Box 591,",Bright,VIC,3741,null,11,Alpine (S),146.982923,-36.768862
Government,1,283,Grovedale Primary School,Primary,O,143 Bailey Street ,Grovedale,VIC,3216,143 Bailey Street,Grovedale,VIC,3216,(035) 243-3902,275,Greater Geelong (C),144.347794,-38.197238
Government,1,293,Hawthorn West Primary School,Primary,O,Cnr Wood Street & Burwood Road ,Hawthorn,VIC,3122,Cnr Wood Street & Burwood Road,Hawthorn,VIC,3122,(039) 818-2233,111,Boroondara (C),145.018377,-37.820112
Government,1,294,Heidelberg Primary School,Primary,O,Cape Street ,Heidelberg,VIC,3084,P O Box 330,Heidelberg,VIC,3084,(039) 457-2259,66,Banyule (C),145.067799,-37.754705
Government,1,295,Hamilton (Gray Street) Primary School,Primary,O,42 Gray Street ,Hamilton,VIC,3300,P O Box 203,Hamilton,VIC,3300,(035) 571-9295,626,Southern Grampians (S),142.021384,-37.744914
Government,1,300,Heathcote Primary School,Primary,O,31 Herriot Street ,Heathcote,VIC,3523,P O Box 631,Heathcote,VIC,3523,(035) 433-3090,262,Greater Bendigo (C),144.706851,-36.924012
Government,1,304,Highton Primary School,Primary,O,218 Roslyn Road ,Highton,VIC,3216,P O Box 6093,Highton,VIC,3216,(035) 243-1494,275,Greater Geelong (C),144.317085,-38.172156
Government,1,306,Huntly Primary School,Primary,O,101 Brunel Street ,Huntly,VIC,3551,101 Brunel Street,Huntly,VIC,3551,(035) 448-8866,262,Greater Bendigo (C),144.334396,-36.662544
Government,1,319,Bellbrae Primary School,Primary,O,50 School Road ,Bellbrae,VIC,3228,50 School Road,Bellbrae,VIC,3228,(035) 261-2660,649,Surf Coast (S),144.2630037,-38.33364403
Government,1,327,Chiltern Primary School,Primary,O,91-101 Albert Road ,Chiltern,VIC,3683,P O Box 30,Chiltern,VIC,3683,(035) 726-1421,335,Indigo (S),146.606601,-36.147066
Government,1,343,Kyneton Primary School,Primary,O,7-15 Baynton Street ,Kyneton,VIC,3444,P O Box 192,Kyneton,VIC,3444,(035) 422-1855,413,Macedon Ranges (S),144.4513462,-37.24914183
Government,1,366,Romsey Primary School,Primary,O,2-56 Station Street ,Romsey,VIC,3434,Station Street,Romsey,VIC,3434,(035) 429-5099,413,Macedon Ranges (S),144.7453792,-37.35417523
Government,1,379,Shelford Primary School,Primary,O,1717 Shelford-Bannockburn Road ,Shelford,VIC,3329,1717 Shelford-Bannockburn Road,Shelford,VIC,3329,(035) 281-3291,249,Golden Plains (S),143.9821391,-38.0139946
Government,1,385,Lockwood South Primary School,Primary,O,710 Calder Alternative Highway ,Lockwood South,VIC,3551,710 Calder Alternative Highway,Lockwood South,VIC,3551,(035) 435-3293,262,Greater Bendigo (C),144.156966,-36.841657
Government,1,400,Marong Primary School,Primary,O,2 Leslie Street ,Marong,VIC,3515,P O Box 303,Marong,VIC,3515,(035) 435-2288,262,Greater Bendigo (C),144.136339,-36.735549
Government,1,415,Mount Macedon Primary School,Primary,O,641 Mount Macedon Road ,Mount Macedon,VIC,3441,641 Mount Macedon Road,Mount Macedon,VIC,3441,(035) 426-1446,413,Macedon Ranges (S),144.5841275,-37.40479379
Government,1,427,Mount Clear Primary School,Primary,O,1206 Geelong Road ,Mount Clear,VIC,3350,1206 Geelong Road,Mount Clear,VIC,3350,(035) 330-1844,57,Ballarat (C),143.8681827,-37.60439201
Government,1,430,Melton Primary School,Primary,O,Unitt Street ,Melton,VIC,3337,P O Box 512,Melton,VIC,3337,(039) 743-5335,465,Melton (C),144.58647,-37.681081
Government,1,450,Fitzroy Primary School,Primary,O,319 George Street ,Fitzroy,VIC,3065,P O Box 150,Fitzroy,VIC,3065,(039) 417-4222,735,Yarra (C),144.981511,-37.799603
Government,1,452,Newstead Primary School,Primary,O,Lyons Street ,Newstead,VIC,3462,Lyons Street,Newstead,VIC,3462,(035) 476-2226,543,Mount Alexander (S),144.06719,-37.105917
Government,1,453,Newlyn Primary School,Primary,O,2701 Midland Highway ,Newlyn,VIC,3364,2701 Midland Highway,Newlyn,VIC,3364,(035) 345-7222,291,Hepburn (S),143.9844266,-37.41202483
Government,1,454,Burwood East Primary School,Primary,O,Cnr Blackburn And Highbury Rds ,Burwood East,VIC,3151,P O Box 374,Glen Waverley,VIC,3150,(039) 802-8618,698,Whitehorse (C),145.152209,-37.859779
Government,1,467,New Gisborne Primary School,Primary,O,239 Station Road ,New Gisborne,VIC,3438,239 Station Road,New Gisborne,VIC,3438,(035) 428-2232,413,Macedon Ranges (S),144.596579,-37.46288785
Government,1,482,Beeac Primary School,Primary,O,35 Lang Street ,Beeac,VIC,3251,Lang Street,Beeac,VIC,3251,(035) 234-6463,175,Colac-Otway (S),143.644279,-38.193973
Government,1,483,Essendon Primary School,Primary,O,38 Raleigh Street ,Essendon,VIC,3040,38 Raleigh Street,Essendon,VIC,3040,(039) 370-7816,506,Moonee Valley (C),144.921042,-37.753095
Government,1,484,Coburg Primary School,Primary,O,92 Bell Street ,Coburg,VIC,3058,92 Bell Street,Coburg,VIC,3058,(039) 354-9332,525,Moreland (C),144.968026,-37.741184
Government,1,486,Penshurst Primary School,Primary,O,87 Ritchie Street ,Penshurst,VIC,3289,87 Ritchie Street,Penshurst,VIC,3289,(035) 576-5433,626,Southern Grampians (S),142.291326,-37.879184
Government,1,487,Myrniong Primary School,Primary,O,Muddy Lane ,Myrniong,VIC,3341,Muddy Lane,Myrniong,VIC,3341,(035) 368-7232,515,Moorabool (S),144.3463198,-37.61971733
Government,1,488,Mernda Primary School,Primary,O,25 Everton Drive ,Mernda,VIC,3754,P O Box 222,Mernda,VIC,3754,(039) 717-7900,707,Whittlesea (C),145.0922429,-37.59459504
Government,1,489,Portland Primary School,Primary,O,45 Palmer Street ,Portland,VIC,3305,P O Box 494,Portland,VIC,3305,(035) 523-1911,241,Glenelg (S),141.599408,-38.347295
Government,1,502,Stawell Primary School,Primary,O,14-28 Barnes Street ,Stawell,VIC,3380,P O Box 502,Stawell,VIC,3380,(035) 358-1255,581,Northern Grampians (S),142.773775,-37.056128
Government,1,522,Rutherglen Primary School,Primary,O,44 Murray Street ,Rutherglen,VIC,3685,P O Box 75,Rutherglen,VIC,3685,(026) 032-9428,335,Indigo (S),146.460614,-36.056209
Government,1,528,Riddells Creek Primary School,Primary,O,69-77 Main Road ,Riddells Creek,VIC,3431,P O Box 255,Riddells Creek,VIC,3431,(035) 428-7277,413,Macedon Ranges (S),144.6797752,-37.46122119
Government,1,531,Rokewood Primary School,Primary,O,38 Aitchison Street ,Rokewood,VIC,3330,38 AITCHISON Street,Rokewood,VIC,3330,(035) 346-1394,249,Golden Plains (S),143.7228146,-37.90365609
Government,1,541,Geelong East Primary School,Primary,O,184 Boundary Road ,Geelong East,VIC,3219,184 Boundary Road,Geelong East,VIC,3219,(035) 248-4885,275,Greater Geelong (C),144.382972,-38.175556
Government,1,545,Sale Primary School,Primary,O,Macalister Street ,Sale,VIC,3850,P O Box 59,Sale,VIC,3850,(035) 144-5545,681,Wellington (S),147.073643,-38.108303
Government,1,582,Skipton Primary School,Primary,O,7 Montgomery Street ,Skipton,VIC,3361,Box 61,Skipton,VIC,3361,(035) 340-2002,183,Corangamite (S),143.368161,-37.686858
Government,1,583,South Yarra Primary School,Primary,O,601 Punt Road ,South Yarra,VIC,3141,601 Punt Road,South Yarra,VIC,3141,(039) 866-3424,460,Melbourne (C),144.985619,-37.841353
Government,1,596,Stratford Primary School,Primary,O,Cnr Wellsford & Hobson Streets ,Stratford,VIC,3862,P O Box 84,Stratford,VIC,3862,(035) 145-6554,681,Wellington (S),147.085386,-37.967251
Government,1,614,Taradale Primary School,Primary,O,98 High Street ,Taradale,VIC,3447,98 High Street,Taradale,VIC,3447,(035) 423-2247,543,Mount Alexander (S),144.351063,-37.141313
Government,1,618,Koroit And District Primary School,Primary,O,91 Commercial Road ,Koroit,VIC,3282,P O Box 86,Koroit,VIC,3282,(035) 565-8332,549,Moyne (S),142.368702,-38.292441
Government,1,621,Tylden Primary School,Primary,O,11 Clowes Street ,Tylden,VIC,3444,11 Clowes Street,Tylden,VIC,3444,(035) 424-8244,413,Macedon Ranges (S),144.4087844,-37.32496764
Government,1,631,Thomastown Primary School,Primary,O,6 Spring Street ,Thomastown,VIC,3074,6 Spring Street,Thomastown,VIC,3074,(039) 465-2225,707,Whittlesea (C),145.0117394,-37.68238797
Government,1,643,Wangaratta Primary School,Primary,O,19 Chisholm Street ,Wangaratta,VIC,3677,P O Box 892,Wangaratta,VIC,3676,(035) 721-2658,670,Wangaratta (RC),146.329419,-36.355275
Government,1,644,Wahgunyah Primary School,Primary,O,Elizabeth Street ,Wahgunyah,VIC,3687,Elizabeth Street,Wahgunyah,VIC,3687,(026) 033-1265,335,Indigo (S),146.397925,-36.013651
Government,1,647,Woodend Primary School,Primary,O,146 High Street ,Woodend,VIC,3442,PO Box 318,Woodend,VIC,3442,(035) 427-2455,413,Macedon Ranges (S),144.5329415,-37.35341833
Government,1,648,Woodford Primary School,Primary,O,8 Victoria Street ,Woodford,VIC,3281,8 Victoria Street,Woodford,VIC,3281,(035) 562-7632,673,Warrnambool (C),142.484504,-38.316807
Government,1,649,Werribee Primary School,Primary,O,2 Deutgam Street ,Werribee,VIC,3030,P O Box 432,Werribee,VIC,3030,(039) 742-6659,726,Wyndham (C),144.65911,-37.906703
Government,1,652,Winters Flat Primary School,Primary,O,3 Roberts Avenue ,Castlemaine,VIC,3450,P O Box 170,Castlemaine,VIC,3450,(035) 472-1522,543,Mount Alexander (S),144.207491,-37.070164
Government,1,653,Wooragee Primary School,Primary,O,1011 Beechworth-Wodonga Road ,Wooragee,VIC,3747,1011 Beechworth Wodonga Road,Beechworth,VIC,3747,(035) 728-7255,335,Indigo (S),146.730883,-36.29048
Government,1,664,Wallan Primary School,Primary,O,46-48 Queen Street ,Wallan,VIC,3756,P O Box 74,Wallan,VIC,3756,(035) 783-1232,485,Mitchell (S),144.975036,-37.411465
Government,1,688,Woolsthorpe Primary School,Primary,O,12 Manifold Street ,Woolsthorpe,VIC,3276,12 Manifold Street,Woolsthorpe,VIC,3276,(035) 569-2241,549,Moyne (S),142.4317633,-38.18741399
Government,1,691,Yandoit Primary School,Primary,O,74 High Street ,Yandoit,VIC,3461,74 High Street,Yandoit,VIC,3461,(035) 476-4286,291,Hepburn (S),144.0884407,-37.21400151
Government,1,693,Yarram Primary School,Primary,O,2-14 Wesley Street ,Yarram,VIC,3971,PO Box 196,Yarram,VIC,3971,(035) 182-5688,681,Wellington (S),146.675323,-38.558532
Government,1,695,Pleasant Street Primary School (Ballarat),Primary,O,101 Pleasant St North ,Lake Wendouree,VIC,3350,101 PLEASANT ST NORTH,Lake Wendouree,VIC,3350,(035) 332-2598,57,Ballarat (C),143.8387223,-37.55705557
Government,1,699,Yea Primary School,Primary,O,23 Station Street ,Yea,VIC,3717,P O Box 237,Yea,VIC,3717,(035) 797-2724,562,Murrindindi (S),145.428298,-37.212727
Government,1,707,Lancefield Primary School,Primary,O,80 High Street ,Lancefield,VIC,3435,80 High Street,Lancefield,VIC,3435,(035) 429-2307,413,Macedon Ranges (S),144.726424,-37.27495358
Government,1,716,Coimadai Primary School,Primary,O,86 Bennetts Lane ,Coimadai,VIC,3340,86 Bennetts Lane,Coimadai,VIC,3340,(035) 367-2907,515,Moorabool (S),144.478308,-37.6137926
Government,1,723,Birregurra Primary School,Primary,O,58 Beal Street ,Birregurra,VIC,3242,58 Beal Street,Birregurra,VIC,3242,(035) 236-2222,175,Colac-Otway (S),143.78651,-38.340457
Government,1,734,Clayton North Primary School,Primary,O,1714 Dandenong Road ,Clayton,VIC,3168,1714 Dandenong Road,Clayton,VIC,3168,(039) 544-1522,497,Monash (C),145.122753,-37.912036
Government,1,737,Milawa Primary School,Primary,O,133 Milawa-Bobinawarrah Road ,Milawa,VIC,3678,133 Milawa-Bobinawarrah Road,Milawa,VIC,3678,(035) 727-3243,670,Wangaratta (RC),146.432484,-36.444544
Government,1,744,Lockwood Primary School,Primary,O,190 Wiegards Road ,Lockwood,VIC,3551,190 Wiegards Road,Lockwood,VIC,3551,(035) 435-3224,262,Greater Bendigo (C),144.161558,-36.802579
Government,1,749,Bealiba Primary School,Primary,O,9 Grant Street ,Bealiba,VIC,3475,9 Grant St,Bealiba,VIC,3475,(035) 469-1256,167,Central Goldfields (S),143.551897,-36.789942
Government,1,754,Bairnsdale Primary School,Primary,O,330 - 370 Main Street ,Bairnsdale,VIC,3875,P O Box 679,Bairnsdale,VIC,3875,(035) 152-4395,211,East Gippsland (S),147.6232285,-37.82742322
Government,1,755,Gordon Primary School,Primary,O,1 Dicker Street ,Gordon,VIC,3345,1 Dicker Street,Gordon,VIC,3345,(035) 368-9223,515,Moorabool (S),144.105053,-37.58384869
Government,1,767,Hepburn Primary School,Primary,O,156 Main Road ,Hepburn,VIC,3461,156 Main Road,Hepburn,VIC,3461,(035) 348-2531,291,Hepburn (S),144.1327626,-37.30971525
Government,1,769,Lara Lake Primary School,Primary,O,89 Forest Road South ,Lara Lake,VIC,3212,P O Box 132,Lara Lake,VIC,3212,(035) 282-1261,275,Greater Geelong (C),144.395642,-38.030405
Government,1,770,Rosedale Primary School,Primary,O,1-23 Cricket Street ,Rosedale,VIC,3847,P O Box 182,Rosedale,VIC,3847,(035) 199-2473,681,Wellington (S),146.7739049,-38.15460171
Government,1,776,Bright P-12 College,Pri/Sec,O,46 Bakers Gully Road ,Bright,VIC,3741,P O Box 30,Bright,VIC,3741,(035) 755-1166,11,Alpine (S),146.960928,-36.733105
Government,1,795,Rochester Primary School,Primary,O,2 George Street ,Rochester,VIC,3561,P O Box 142,Rochester,VIC,3561,(035) 484-1072,137,Campaspe (S),144.6979959,-36.35459709
Government,1,800,Ararat Primary School,Primary,O,70 - 78 Moore Street ,Ararat,VIC,3377,P O Box 225,Ararat,VIC,3377,(035) 352-1253,26,Ararat (RC),142.937307,-37.285942
Government,1,814,Jamieson Primary School,Primary,O,1 The Sideling ,Jamieson,VIC,3723,1 The Sideling,Jamieson,VIC,3723,(035) 777-0535,425,Mansfield (S),146.139739,-37.301151
Government,1,824,Preston South Primary School,Primary,O,56B Hotham Street ,Preston,VIC,3072,P O Box 1527,Preston,VIC,3072,(039) 484-1544,189,Darebin (C),145.007447,-37.747867
Government,1,831,Omeo Primary School,Primary,O,167 Day Avenue ,Omeo,VIC,3898,P O Box 40,Omeo,VIC,3898,(035) 159-1313,211,East Gippsland (S),147.593082,-37.100217
Government,1,843,Harrietville Primary School,Primary,O,165 Great Alpine Road ,Harrietville,VIC,3741,165 Great Alpine Road,Harrietville,VIC,3741,(035) 759-2533,11,Alpine (S),147.064936,-36.887713
Government,1,846,Mordialloc Beach Primary School,Primary,O,58 Barkly Street ,Mordialloc,VIC,3195,58 Barkly Street,Mordialloc,VIC,3195,(039) 580-1468,343,Kingston (C),145.088809,-38.005582
Government,1,849,Healesville Primary School,Primary,O,2 View Street ,Healesville,VIC,3777,P O Box 222,Healesville,VIC,3777,(035) 962-4053,745,Yarra Ranges (S),145.5160425,-37.65713287
Government,1,854,Lake Bolac College,Pri/Sec,O,90 Montgomery Street ,Lake Bolac,VIC,3351,90 Montgomery Street,Lake Bolac,VIC,3351,(035) 350-2302,26,Ararat (RC),142.837903,-37.720241
Government,1,856,Toongabbie Primary School,Primary,O,Victoria Street ,Toongabbie,VIC,3856,Victoria Street,Toongabbie,VIC,3856,(035) 192-4384,381,Latrobe (C),146.625183,-38.056967
Government,1,859,Waubra Primary School,Primary,O,2110 Sunraysia Highway ,Waubra,VIC,3352,2110 Sunraysia Highway,Waubra,VIC,3352,(035) 343-5358,599,Pyrenees (S),143.634455,-37.353836
Government,1,860,Great Western Primary School,Primary,O,Stephenson Street ,Great Western,VIC,3374,Stephenson Street,Great Western,VIC,3374,(035) 356-2235,581,Northern Grampians (S),142.85173,-37.148513
Government,1,861,Maffra Primary School,Primary,O,22-28 Church Street ,Maffra,VIC,3860,P O Box 160,Maffra,VIC,3860,(035) 147-1236,681,Wellington (S),146.97677,-37.964002
Government,1,862,Broken Creek Primary School,Primary,O,413 Quinn Road ,Broken Creek,VIC,3673,413 Quinn Road,Broken Creek,VIC,3673,(035) 764-1253,101,Benalla (RC),145.889232,-36.423279
Government,1,863,Lal Lal Primary School,Primary,O,12 Vaughan Street ,Lal Lal,VIC,3352,12 Vaughan Street,Lal Lal,VIC,3352,(035) 341-7580,515,Moorabool (S),144.010707,-37.676724
Government,1,864,Cobden Primary School,Primary,O,Silvester Street ,Cobden,VIC,3266,Silvester Street,Cobden,VIC,3266,(035) 595-1087,183,Corangamite (S),143.078121,-38.327119
Government,1,866,St Leonards Primary School,Primary,O,1341 Murradoc Road ,St Leonards,VIC,3223,1341 Murradoc Road,St Leonards,VIC,3223,(035) 257-1460,275,Greater Geelong (C),144.715034,-38.17196
Government,1,876,Lilydale Primary School,Primary,O,63 - 65 Castella Street ,Lilydale,VIC,3140,63 - 65 Castella Street,Lilydale,VIC,3140,(039) 735-1642,745,Yarra Ranges (S),145.3540681,-37.75367357
Government,1,877,Bendigo Primary School,Primary,O,Old Violet Street ,Bendigo,VIC,3550,P O Box 316,Bendigo,VIC,3552,(035) 443-6411,262,Greater Bendigo (C),144.264982,-36.757329
Government,1,878,Darraweit Guim Primary School,Primary,O,2 Darraweit Valley Road ,Darraweit Guim,VIC,3756,2 Darraweit Valley Road,Darraweit Guim,VIC,3756,(035) 789-1234,413,Macedon Ranges (S),144.8935664,-37.4010281
Government,1,880,Linton Primary School,Primary,O,28 Adair Street ,Linton,VIC,3360,28 Adair Street,Linton,VIC,3360,(035) 344-7341,249,Golden Plains (S),143.5613088,-37.68406827
Government,1,882,Invermay Primary School,Primary,O,187 Swinglers Road ,Invermay,VIC,3352,187 Swinglers Road,Invermay,VIC,3352,(035) 332-6396,57,Ballarat (C),143.8743932,-37.52085014
Government,1,887,Mitta Mitta Primary School,Primary,O,27 Giltrap Road ,Mitta Mitta,VIC,3701,27 Giltrap Road,Mitta Mitta,VIC,3701,(026) 072-3570,667,Towong (S),147.379483,-36.533414
Government,1,888,Camberwell Primary School,Primary,O,290 Camberwell Road ,Camberwell,VIC,3124,290 Camberwell Road,Camberwell,VIC,3124,(039) 882-4663,111,Boroondara (C),145.05795,-37.832656
Government,1,890,Greenvale Primary School,Primary,O,12-24 Bradford Avenue ,Greenvale,VIC,3059,12-24 Bradford Avenue,Greenvale,VIC,3059,(039) 333-2500,327,Hume (C),144.885933,-37.640312
Government,1,912,Alexandra Primary School,Primary,O,15 Webster Street ,Alexandra,VIC,3714,Locked Bag 2,Alexandra,VIC,3714,(035) 772-1006,562,Murrindindi (S),145.711704,-37.192568
Government,1,919,Rockbank Primary School,Primary,O,97-105 Westcott Parade ,Rockbank,VIC,3335,P O Box 620,Melton,VIC,3337,(039) 747-1210,465,Melton (C),144.66214,-37.732023
Government,1,932,Bannockburn Primary School,Primary,O,32 High Street ,Bannockburn,VIC,3331,32 High Street,Bannockburn,VIC,3331,(035) 281-1755,249,Golden Plains (S),144.1700496,-38.04699559
Government,1,945,Doreen Primary School,Primary,O,75 Doctors Gully Road ,Doreen,VIC,3754,75 Doctors Gully Road,Doreen,VIC,3754,(039) 717-3563,571,Nillumbik (S),145.146482,-37.606324
Government,1,954,Talbot Primary School,Primary,O,2 Rowe Street ,Talbot,VIC,3371,2 Rowe Street,Talbot,VIC,3371,(035) 463-2373,167,Central Goldfields (S),143.703604,-37.16865
Government,1,956,Yarra Glen Primary School,Primary,O,Symonds Street ,Yarra Glen,VIC,3775,Symonds Street,Yarra Glen,VIC,3775,(039) 730-1254,745,Yarra Ranges (S),145.3716153,-37.64909639
Government,1,959,Elmhurst Primary School,Primary,O,48 Byerly Street ,Elmhurst,VIC,3469,48 Byerly Street,Elmhurst,VIC,3469,(035) 354-8252,26,Ararat (RC),143.250208,-37.178015
Government,1,981,Kangaroo Flat Primary School,Primary,O,60-80 Olympic Parade ,Kangaroo Flat,VIC,3555,PO BOX 1244,Kangaroo Flat,VIC,3555,(035) 447-5100,262,Greater Bendigo (C),144.234463,-36.788258
Government,1,982,Westmeadows Primary School,Primary,O,34-46 Riddell Street ,Westmeadows,VIC,3049,P O Box 2282,Greenvale,VIC,3059,(039) 309-4350,327,Hume (C),144.895697,-37.675649
Government,1,1002,Sunbury Primary School,Primary,O,41 The Heights ,Sunbury,VIC,3429,P O Box 212,Sunbury,VIC,3429,(039) 744-9744,327,Hume (C),144.728144,-37.597687
